Date,Open,High,Low,Close,Adj Close,Volume
2019-03-23,53.902355,54.368439,53.356270,53.840374,53.840374,81236141
2019-03-24,53.813267,54.176147,53.529587,53.744678,53.744678,83963837
2019-03-25,53.798145,54.080978,51.114429,52.339848,52.339848,93084755
2019-03-26,52.238358,53.063038,50.380131,52.940498,52.940498,91009789
2019-03-27,52.957504,55.025490,52.838917,54.729790,54.729790,91620140
2019-03-28,54.706169,54.733185,53.724270,53.898415,53.898415,95017107
2019-03-29,53.921970,54.099442,52.421268,53.482815,53.482815,92764026
2019-03-30,53.468391,56.395561,52.893566,53.450191,53.450191,88272936
2019-03-31,53.455788,56.497330,53.114277,55.885338,55.885338,99371366
2019-04-01,55.880993,59.989258,55.828999,59.973160,59.973160,118227704
2019-04-02,59.959187,69.820045,59.056435,69.059052,69.059052,129351711
2019-04-03,69.058434,72.326530,63.933182,65.706596,65.706596,114825438
2019-04-04,65.840675,66.875740,62.218185,63.926052,63.926052,91708208
2019-04-05,63.925381,69.181778,63.887001,69.162140,69.162140,95806843
2019-04-06,69.164970,70.107719,66.987961,68.091866,68.091866,100724714
2019-04-07,68.089813,70.090919,67.902290,69.807007,69.807007,92938041
2019-04-08,69.823143,72.507454,68.822037,71.093414,71.093414,105550896
2019-04-09,71.113647,71.219818,68.079361,68.372604,68.372604,90506705
2019-04-10,68.361160,71.699615,68.120857,70.977356,70.977356,135283524
2019-04-11,70.949135,71.170288,62.813061,66.367119,66.367119,128763082
2019-04-12,66.330299,71.182220,65.673996,66.101357,66.101357,127876574
2019-04-13,66.103165,66.904175,64.071259,65.323776,65.323776,110204684
2019-04-14,65.311310,67.298889,64.289925,66.581505,66.581505,122650716
2019-04-15,66.589058,67.058769,64.267647,64.352280,64.352280,106781470
2019-04-16,64.363197,70.127335,63.960957,68.903076,68.903076,99339083
2019-04-17,68.873756,69.972343,66.917450,67.477394,67.477394,99427822
2019-04-18,67.476753,69.949303,67.464767,69.162140,69.162140,92841765
2019-04-19,69.167557,69.535255,67.540741,68.566940,68.566940,96681422
2019-04-20,68.603828,70.244545,68.155769,69.524529,69.524529,100543874
2019-04-21,69.587791,70.090218,67.407997,68.718506,68.718506,101931769
